x,y,Distance
3.157,116.123,90.668
16.144,16.817,103.963
100.312,64.990,27.063
-1.338,84.818,91.467
104.373,62.424,31.109
178.505,95.229,88.677
24.980,180.451,111.382
101.806,115.338,27.958
17.956,44.563,85.162
163.952,23.062,99.764
17.796,184.488,118.903
184.719,-1.651,131.818
175.034,139.417,98.364
135.002,140.141,67.384
162.079,24.547,97.379
120.918,4.915,90.538
104.881,-1.082,92.297
175.178,161.322,111.106
55.550,2.279,94.240
115.340,178.188,91.758
144.997,39.826,74.461
44.801,81.397,45.993
164.112,137.156,87.856
35.044,79.335,55.964
176.826,36.137,102.194
144.244,142.643,75.600
43.688,43.376,65.706
103.081,63.938,29.173
144.593,41.976,72.726
161.286,24.832,96.601
136.247,76.697,48.141
175.209,178.569,122.913
140.326,95.011,50.593
41.844,104.647,50.315
79.891,115.001,26.957
40.401,35.016,74.040
60.395,155.016,71.428
181.216,95.150,91.380
102.651,184.239,95.083
162.368,104.404,73.805
176.483,83.554,86.742
184.459,117.739,98.465
-0.368,-4.986,131.096
181.922,75.384,93.096
-4.863,78.838,95.500
82.841,15.885,74.462
0.089,175.001,123.714
37.235,55.834,62.847
123.618,116.549,42.849
24.159,22.775,94.087
175.165,58.728,90.743
20.212,95.004,69.949
103.087,3.934,87.062
55.005,179.781,96.350
80.978,44.903,45.990
124.888,181.051,97.509
77.146,104.106,19.069
-3.013,83.990,93.189
175.321,58.238,91.059
1.147,35.133,104.414
136.342,16.591,86.826
181.136,95.131,91.299
55.007,139.734,60.798
80.458,135.021,46.014
140.404,164.984,90.357
44.792,138.572,66.340
157.676,144.427,86.859
103.063,16.048,75.104
121.345,104.816,34.685
44.165,-2.766,103.466
-4.929,59.160,99.797
-4.741,158.413,116.843
141.764,104.678,53.822
64.275,37.408,58.542
80.114,55.001,36.367
102.018,35.425,55.890
24.357,-2.452,113.378
23.672,176.607,109.073
57.039,115.971,41.946
35.143,1.186,104.383
184.184,82.737,94.483
24.926,40.857,81.533
41.480,124.776,59.678
-4.773,158.510,116.925
135.407,61.976,53.376
44.208,97.300,46.351
1.386,35.196,104.179
42.631,144.252,72.006
21.606,175.265,109.292
63.557,16.486,78.122
15.216,158.547,101.431
124.446,142.287,62.620
15.322,78.233,75.581
98.263,84.688,9.840
157.248,164.174,100.130
15.136,138.842,89.370
155.175,61.310,71.228
76.686,36.256,55.368
44.988,120.339,54.265
42.665,184.230,105.440
115.081,119.103,38.429
80.229,115.005,26.836
140.136,184.998,107.422
182.000,144.582,106.987
184.315,-2.526,132.138
139.585,175.017,98.426
164.998,159.855,102.502
20.385,175.015,109.866
160.971,24.905,96.319
140.714,84.949,50.984
-4.972,39.475,107.561
103.753,63.304,30.042
137.950,124.560,59.119
15.178,98.677,75.305
144.447,177.714,103.245
136.541,-3.610,104.553
-1.808,115.339,95.222
61.221,175.151,89.874
62.707,124.204,43.744
-1.290,75.169,92.470
178.995,84.898,89.160
84.999,40.076,50.176
135.854,-2.795,103.518
41.150,144.866,73.446
158.435,184.749,116.886
81.132,124.870,35.972
56.506,96.424,34.086
42.314,104.432,49.803
78.047,44.603,46.944
136.980,76.015,49.036
16.562,136.369,86.834
162.716,135.802,85.952
135.677,42.513,65.905
144.078,177.107,102.535
55.396,41.950,59.206
120.428,164.982,80.924
115.247,38.448,57.414
22.329,24.424,94.221
35.000,59.964,62.653
144.999,59.911,62.710
84.754,81.550,9.940
56.084,83.108,34.592
95.254,18.426,71.772
115.008,0.289,93.140
121.583,164.743,81.145
138.008,64.586,54.338
95.344,138.177,48.471
162.644,35.756,90.679
-4.916,179.085,130.158
35.303,38.285,75.263
183.966,63.045,97.775
56.834,56.130,47.394
119.525,144.977,62.409
104.648,118.158,31.746
41.048,155.111,81.446
-3.296,56.240,99.200
104.987,139.635,51.850
-2.055,-4.558,131.957
2.220,75.520,88.948
135.006,120.248,54.240
3.242,36.193,102.075
44.213,42.692,65.827
140.556,-4.969,107.599
163.066,136.051,86.381
80.619,75.038,17.653
84.808,98.629,10.057
177.936,124.554,94.497
55.328,138.220,59.378
24.190,122.728,73.480
75.637,117.557,31.064
158.520,144.776,87.735
156.136,3.174,109.160
143.766,163.289,90.904
162.076,175.451,111.798
138.376,64.729,54.597
155.029,120.533,71.855
135.163,101.265,46.563
38.316,44.708,68.710
-2.455,184.356,132.087
-1.952,144.603,106.925
184.084,177.116,128.234
136.354,83.421,46.837
175.919,62.888,90.113
123.415,116.348,42.565
176.324,3.390,122.299
-3.569,56.498,99.370
99.515,124.976,36.249
39.360,155.041,82.416
84.630,158.112,68.318
75.258,81.586,16.960
75.552,-2.284,93.409
40.062,175.000,98.572
15.586,22.349,100.558
15.067,79.184,75.692
44.927,139.147,66.671
61.065,135.115,53.583
35.174,41.309,73.314
44.719,178.347,99.263
176.582,76.350,87.670
155.058,79.242,65.960
-3.887,83.145,94.119
97.480,15.681,74.700
84.622,58.093,32.358
55.882,62.835,43.600
21.231,124.846,77.076
124.674,121.776,47.043
144.909,59.051,63.049
135.001,100.118,46.142
161.610,15.266,103.520
82.719,75.804,15.950
124.330,77.499,36.553
59.217,135.062,54.559
164.273,102.597,75.351
-0.203,135.004,100.789
16.947,183.959,119.003
84.993,79.737,11.414
176.195,116.756,90.269
115.000,80.064,26.921
4.811,21.362,109.388
39.493,135.026,67.647
57.355,44.243,56.201
144.985,19.614,89.331
64.468,17.756,76.620
184.660,161.811,118.829
137.089,164.065,87.774
98.053,55.395,35.538
78.833,15.138,75.691
15.509,97.803,74.880
136.137,123.174,56.838
144.944,99.254,55.735
136.545,76.386,48.514
35.757,82.645,54.722
119.152,144.928,62.189
0.620,75.039,90.607
137.340,-4.234,105.469
137.081,164.060,87.765
96.684,96.257,9.167
-4.976,-0.492,131.173
0.053,5.000,123.745
101.270,44.836,46.557
-2.305,4.437,125.851
177.057,184.042,128.161
124.742,-1.585,97.964
77.545,44.356,47.312
141.959,15.400,90.925
158.878,24.872,94.809
1.449,4.786,122.883
22.794,75.853,68.662
44.658,38.182,68.846
124.910,80.945,36.084
84.850,58.783,31.640
-3.010,23.993,114.039
84.898,81.005,10.336
120.088,35.001,62.703
23.032,103.976,68.392
77.584,-4.378,95.192
175.010,79.687,85.652
64.999,139.902,55.803
163.334,143.726,90.921
17.077,95.944,73.146
123.758,63.298,43.059
176.102,-3.132,126.851
140.721,155.052,82.497
115.015,-0.389,93.795
75.616,177.596,88.762
164.984,19.607,102.865
79.195,164.935,75.703
135.369,121.885,55.465
4.943,120.756,90.429
63.797,83.253,27.041
23.766,16.711,98.774
184.991,59.704,99.724
182.272,104.454,93.415
