V,H,S,M
0.175033,0,0,1
0.152702,0.181818,0,1
0.111279,0.272727,0,1
0.072981,0.454545,0,1
0.081152,0.545455,0,1
0.053888,0.727273,0,1
0.070646,0.818182,0,1
0.046357,1,0,1
0.194125,0,0.6,1
0.171531,0.181818,0.6,1
0.171531,0.272727,0.6,1
0.164903,0.454545,0.6,1
0.171531,0.545455,0.6,1
0.133873,0.727273,0.6,1
0.072981,0.818182,0.6,1
0.04726,1,0.6,1
0.146601,0,0.2,1
0.107513,0.181818,0.2,1
0.131538,0.272727,0.2,1
0.096215,0.454545,0.2,1
0.07765,0.545455,0.2,1
0.077387,0.727273,0.2,1
0.107513,0.818182,0.2,1
0.084918,1,0.2,1
0.156204,0,0.8,1
0.133873,0.181818,0.8,1
0.14517,0.272727,0.8,1
0.130107,0.454545,0.8,1
0.156468,0.545455,0.8,1
0.14517,0.727273,0.8,1
0.156468,0.818182,0.8,1
0.095312,1,0.8,1
0.186594,0,0.4,1
0.179439,0.181818,0.4,1
0.122576,0.272727,0.4,1
0.140434,0.454545,0.4,1
0.122576,0.545455,0.4,1
0.1492,0.727273,0.4,1
0.163999,0.818182,0.4,1
0.137639,1,0.4,1
0.175297,0,1,1
0.121258,0.181818,1,1
0.092563,0.272727,1,1
0.09245,0.454545,1,1
0.117756,0.545455,1,1
0.109207,0.727273,1,1
0.130107,0.909091,1,1
1,0,0,2
1,0.090909,0,2
1,0.272727,0,2
0.883261,0.363636,0,2
0.574468,0.545455,0,2
0.514216,0.636364,0,2
0.318396,0.818182,0,2
0.305027,0.909091,0,2
1,0,0.6,2
1,0.090909,0.6,2
0.969874,0.272727,0.6,2
0.770288,0.363636,0.6,2
0.570702,0.545455,0.6,2
0.53681,0.636364,0.6,2
0.382414,0.818182,0.6,2
0.344756,0.909091,0.6,2
0.649783,0,0.2,2
0.529279,0.090909,0.2,2
0.416306,0.272727,0.2,2
0.382414,0.363636,0.2,2
0.299567,0.545455,0.2,2
0.250612,0.636364,0.2,2
0.205423,0.818182,0.2,2
1,0,0.8,2
0.890793,0.181818,0.8,2
0.947279,0.272727,0.8,2
0.698738,0.454545,0.8,2
0.668612,0.545455,0.8,2
0.370853,0.727273,0.8,2
0.337225,0.818182,0.8,2
0.336057,1,0.8,2
1,0,0.4,2
1,0.181818,0.4,2
1,0.272727,0.4,2
1,0.454545,0.4,2
1,0.545455,0.4,2
0.819243,0.727273,0.4,2
0.53681,0.818182,0.4,2
0.4389,1,0.4,2
1,0,1,2
0.864432,0.181818,1,2
1,0.272727,1,2
0.762757,0.454545,1,2
0.646018,0.545455,1,2
0.38618,0.727273,1,2
