V,H,S,M
-0.47226,-1.662757,-1.462773,1
-0.56375,-1.068664,-1.462773,1
-0.73346,-0.771618,-1.462773,1
-0.890366,-0.177525,-1.462773,1
-0.856886,0.119522,-1.462773,1
-0.968587,0.713614,-1.462773,1
-0.899932,1.010661,-1.462773,1
-0.999444,1.604754,-1.462773,1
-0.394039,-1.662757,0.280179,1
-0.486609,-1.068664,0.280179,1
-0.486609,-0.771618,0.280179,1
-0.513762,-0.177525,0.280179,1
-0.486609,0.119522,0.280179,1
-0.640891,0.713614,0.280179,1
-0.890366,1.010661,0.280179,1
-0.995741,1.604754,0.280179,1
-0.588744,-1.662757,-0.881789,1
-0.748889,-1.068664,-0.881789,1
-0.650457,-0.771618,-0.881789,1
-0.795173,-0.177525,-0.881789,1
-0.871235,0.119522,-0.881789,1
-0.872315,0.713614,-0.881789,1
-0.748889,1.010661,-0.881789,1
-0.841458,1.604754,-0.881789,1
-0.549401,-1.662757,0.861162,1
-0.640891,-1.068664,0.861162,1
-0.594606,-0.771618,0.861162,1
-0.656319,-0.177525,0.861162,1
-0.548322,0.119522,0.861162,1
-0.594606,0.713614,0.861162,1
-0.548322,1.010661,0.861162,1
-0.798877,1.604754,0.861162,1
-0.424896,-1.662757,-0.300805,1
-0.454209,-1.068664,-0.300805,1
-0.687176,-0.771618,-0.300805,1
-0.614013,-0.177525,-0.300805,1
-0.687176,0.119522,-0.300805,1
-0.578098,0.713614,-0.300805,1
-0.517465,1.010661,-0.300805,1
-0.625463,1.604754,-0.300805,1
-0.47118,-1.662757,1.442146,1
-0.692575,-1.068664,1.442146,1
-0.810138,-0.771618,1.442146,1
-0.810602,-0.177525,1.442146,1
-0.706923,0.119522,1.442146,1
-0.741946,0.713614,1.442146,1
-0.656319,1.307707,1.442146,1
2.907605,-1.662757,-1.462773,2
2.907605,-1.36571,-1.462773,2
2.907605,-0.771618,-1.462773,2
2.42933,-0.474571,-1.462773,2
1.164214,0.119522,-1.462773,2
0.917362,0.416568,-1.462773,2
0.115093,1.010661,-1.462773,2
0.060322,1.307707,-1.462773,2
2.907605,-1.662757,0.280179,2
2.907605,-1.36571,0.280179,2
