V_ZScoreNormalized,H_ZScoreNormalized,S_ZScoreNormalized,M_ZScoreNormalized
-0.473,-1.665,-1.465,-1.377
-0.565,-1.07,-1.465,-1.377
-0.735,-0.773,-1.465,-1.377
-0.892,-0.178,-1.465,-1.377
-0.858,0.12,-1.465,-1.377
-0.97,0.715,-1.465,-1.377
-0.901,1.012,-1.465,-1.377
-1.001,1.607,-1.465,-1.377
-0.395,-1.665,0.281,-1.377
-0.487,-1.07,0.281,-1.377
-0.487,-0.773,0.281,-1.377
-0.515,-0.178,0.281,-1.377
-0.487,0.12,0.281,-1.377
-0.642,0.715,0.281,-1.377
-0.892,1.012,0.281,-1.377
-0.997,1.607,0.281,-1.377
-0.59,-1.665,-0.883,-1.377
-0.75,-1.07,-0.883,-1.377
-0.651,-0.773,-0.883,-1.377
-0.796,-0.178,-0.883,-1.377
-0.873,0.12,-0.883,-1.377
-0.874,0.715,-0.883,-1.377
-0.75,1.012,-0.883,-1.377
-0.843,1.607,-0.883,-1.377
-0.55,-1.665,0.862,-1.377
-0.642,-1.07,0.862,-1.377
-0.595,-0.773,0.862,-1.377
-0.657,-0.178,0.862,-1.377
-0.549,0.12,0.862,-1.377
-0.595,0.715,0.862,-1.377
-0.549,1.012,0.862,-1.377
-0.8,1.607,0.862,-1.377
-0.426,-1.665,-0.301,-1.377
-0.455,-1.07,-0.301,-1.377
-0.688,-0.773,-0.301,-1.377
-0.615,-0.178,-0.301,-1.377
-0.688,0.12,-0.301,-1.377
-0.579,0.715,-0.301,-1.377
-0.518,1.012,-0.301,-1.377
-0.626,1.607,-0.301,-1.377
-0.472,-1.665,1.444,-1.377
-0.694,-1.07,1.444,-1.377
-0.811,-0.773,1.444,-1.377
-0.812,-0.178,1.444,-1.377
-0.708,0.12,1.444,-1.377
-0.743,0.715,1.444,-1.377
-0.657,1.31,1.444,-1.377
2.912,-1.665,-1.465,-0.672
2.912,-1.368,-1.465,-0.672
2.912,-0.773,-1.465,-0.672
2.433,-0.475,-1.465,-0.672
